item	Cond	font_size	line_length	Line1	Line2	Whole_sentence
4	2	0,394	16	The sisters played and laughed in the sun	as they enjoyed the last days of summer.	The sisters played and laughed in the sun as they enjoyed the last days of summer.
4	3	0,295	26	The two youngest sisters, who had been born a year apart, played and laughed in the sun	as they enjoyed the last days of summer.	The two youngest sisters, who had been born a year apart, played and laughed in the sun as they enjoyed the last days of summer.
4	4	0,394	26	The two youngest sisters both happily played and laughed in the sun	as they enjoyed the last days of summer.	The two youngest sisters both happily played and laughed in the sun as they enjoyed the last days of summer.
5	1	0,295	16	The two ancient graves were located in the old cemetery	where some of the tallest trees could be found.	The two ancient graves were located in the old cemetery where some of the tallest trees could be found.
5	2	0,394	16	The tomb was located in the old cemetery	where some of the tallest trees could be found.	The tomb was located in the old cemetery where some of the tallest trees could be found.
5	3	0,295	26	The group of ancient, unmarked graves and various tombs were located in the old cemetery	where some of the tallest trees could be found.	The group of ancient, unmarked graves and various tombs were located in the old cemetery where some of the tallest trees could be found.
5	4	0,394	26	The ancient graves and small tombs were located in the old cemetery	where some of the tallest trees could be found.	The ancient graves and small tombs were located in the old cemetery where some of the tallest trees could be found.
6	1	0,295	16	She spent her break nervously pacing down the hallway	because she was worried about what would happen next.	She spent her break nervously pacing down the hallway because she was worried about what would happen next.
6	2	0,394	16	She was nervously pacing down the hallway	because she was worried about what would happen next.	She was nervously pacing down the hallway because she was worried about what would happen next.
6	3	0,295	26	She was very anxious and spent her entire lunch break nervously pacing down the hallway	because she was worried about what would happen next.	She was very anxious and spent her entire lunch break nervously pacing down the hallway because she was worried about what would happen next.
6	4	0,394	26	She spent her entire lunch break nervously pacing down the hallway	because she was worried about what would happen next.	She spent her entire lunch break nervously pacing down the hallway because she was worried about what would happen next.
7	1	0,295	16	After he closed the door, the room was dark except for	a small light coming from the LED clock.	After he closed the door, the room was dark except for a small light coming from the LED clock.
7	2	0,394	16	After hours, the room was dark except for	a small light coming from the LED clock.	After hours, the room was dark except for a small light coming from the LED clock.
7	3	0,295	26	After the security guards closed the two steel safety doors, the room was dark except for	a small light coming from the LED clock.	After the security guards closed the two steel safety doors, the room was dark except for a small light coming from the LED clock.
7	4	0,394	26	After the guards closed the two doors, the room was dark except for	a small light coming from the LED clock.	After the guards closed the two doors, the room was dark except for a small light coming from the LED clock.
8	1	0,295	16	The old house near the hill was believed to be haunted	because a whole family had disappeared under strange circumstances there.	The old house near the hill was believed to be haunted because a whole family had disappeared under strange circumstances there.
8	2	0,394	16	The old house was believed to be haunted	because a whole family had disappeared under strange circumstances there.	The old house was believed to be haunted because a whole family had disappeared under strange circumstances there.
8	3	0,295	26	The mysterious old house that stood near the top of the hill was believed to be haunted	because a whole family had disappeared under strange circumstances there.	The mysterious old house that stood near the top of the hill was believed to be haunted because a whole family had disappeared under strange circumstances there.
8	4	0,394	26	The old house near the top of the hill was believed to be haunted	because a whole family had disappeared under strange circumstances there.	The old house near the top of the hill was believed to be haunted because a whole family had disappeared under strange circumstances there.
9	1	0,295	16	The villagers were awoken before dawn by the sound of	dogs barking somewhere in the distance.	The villagers were awoken before dawn by the sound of dogs barking somewhere in the distance.
9	2	0,394	16	The villagers were awoken by the sound of	dogs barking somewhere in the distance.	The villagers were awoken by the sound of dogs barking somewhere in the distance.
9	3	0,295	26	The villagers were annoyed because they were awoken early in the morning by the sound of	dogs barking somewhere in the distance.	The villagers were annoyed because they were awoken early in the morning by the sound of dogs barking somewhere in the distance.
9	4	0,394	26	The villagers were awoken very early in the morning by the sound of	dogs barking somewhere in the distance.	The villagers were awoken very early in the morning by the sound of dogs barking somewhere in the distance.
10	1	0,295	16	During the cold and snowy winter, a coal mine was built	near the Massachusetts seaport of Innsmouth. 	During the cold and snowy winter, a coal mine was built near the Massachusetts seaport of Innsmouth. 
10	2	0,394	16	During the winter, a coal mine was built	near the Massachusetts seaport of Innsmouth. 	During the winter, a coal mine was built near the Massachusetts seaport of Innsmouth. 
10	3	0,295	26	During the cold winter of 1927-1928 when the sea almost froze over, a coal mine was built	near the Massachusetts seaport of Innsmouth. 	During the cold winter of 1927-1928 when the sea almost froze over, a coal mine was built near the Massachusetts seaport of Innsmouth. 
10	4	0,394	26	During the cold and snowy winter of 1927-28, a coal mine was built	near the Massachusetts seaport of Innsmouth. 	During the cold and snowy winter of 1927-28, a coal mine was built near the Massachusetts seaport of Innsmouth. 
11	1	0,295	16	Wu was really fond of the modern flats in the big city	even if they were very overpriced.	Wu was really fond of the modern flats in the big city even if they were very overpriced.
11	2	0,394	16	Wu liked the modern flats in the big city	even if they were very overpriced.	Wu liked the modern flats in the big city even if they were very overpriced.
11	3	0,295	26	Wu Yang had often contemplated living in one of the spacious modern flats in the big city	even if they were very overpriced.	Wu Yang had often contemplated living in one of the spacious modern flats in the big city even if they were very overpriced.
11	4	0,394	26	Wu often thought about living in the modern flats in the big city	even if they were very overpriced.	Wu often thought about living in the modern flats in the big city even if they were very overpriced.
12	1	0,295	16	That same night a huge storm had caused the new team to	move indoors quickly for their own protection.	That same night a huge storm had caused the new team to move indoors quickly for their own protection.
12	2	0,394	16	That night a storm caused the new team to	move indoors quickly for their own protection.	That night a storm caused the new team to move indoors quickly for their own protection.
12	3	0,295	26	That same night a huge storm, which had come from the far north, caused the new team to	move indoors quickly for their own protection.	That same night a huge storm, which had come from the far north, caused the new team to move indoors quickly for their own protection.
12	4	0,394	26	That night a storm came from the north and caused the new team to	move indoors quickly for their own protection.	That night a storm came from the north and caused the new team to move indoors quickly for their own protection.
13	1	0,295	16	Mr. Lee, our old next door neighbour, sat in his garden	as he watched his grandchildren play football.	Mr. Lee, our old next door neighbour, sat in his garden as he watched his grandchildren play football.
13	2	0,394	16	Mr. Lee, our neighbour, sat in his garden	as he watched his grandchildren play football.	Mr. Lee, our neighbour, sat in his garden as he watched his grandchildren play football.
13	3	0,295	26	Mr. Lee, our old time neighbour who had fought in the Second World War, sat in his garden	as he watched his grandchildren play football.	Mr. Lee, our old time neighbour who had fought in the Second World War, sat in his garden as he watched his grandchildren play football.
13	4	0,394	26	Mr. Lee, our neighbour who had fought in the war, sat in his garden	as he watched his grandchildren play football.	Mr. Lee, our neighbour who had fought in the war, sat in his garden as he watched his grandchildren play football.
14	1	0,295	16	Gary, the security guard that day, found the small baby	who had been abandoned in the middle of the parking lot.	Gary, the security guard that day, found the small baby who had been abandoned in the middle of the parking lot.
14	2	0,394	16	Gary, the old guard, found the small baby	who had been abandoned in the middle of the parking lot.	Gary, the old guard, found the small baby who had been abandoned in the middle of the parking lot.
14	3	0,295	26	Gary, the old guard who had been called as a replacement that day, found the small baby	who had been abandoned in the middle of the parking lot.	Gary, the old guard who had been called as a replacement that day, found the small baby who had been abandoned in the middle of the parking lot.
14	4	0,394	26	Gary, the guard who covered for a colleague, found the small baby	who had been abandoned in the middle of the parking lot.	Gary, the guard who covered for a colleague, found the small baby who had been abandoned in the middle of the parking lot.
15	1	0,295	16	It was only after lunch that he found out he had left	his wallet in the restaurant around the corner.	It was only after lunch that he found out he had left his wallet in the restaurant around the corner.
15	2	0,394	16	It was then that he found out he had left	his wallet in the restaurant around the corner.	It was then that he found out he had left his wallet in the restaurant around the corner.
15	3	0,295	26	It was only after he received an urgent call from the owner that he found out he had left	his wallet in the restaurant around the corner.	It was only after he received an urgent call from the owner that he found out he had left his wallet in the restaurant around the corner.
15	4	0,394	26	It was only after he received a call that he found out he had left	his wallet in the restaurant around the corner.	It was only after he received a call that he found out he had left his wallet in the restaurant around the corner.
16	1	0,295	16	When she woke up that morning feeling sick, Sally knew	she probably had food poisoning from the dinner she ate the previous night.	When she woke up that morning feeling sick, Sally knew she probably had food poisoning from the dinner she ate the previous night.
16	2	0,394	16	When she woke up feeling sick, Sally knew	she probably had food poisoning from the dinner she ate the previous night.	When she woke up feeling sick, Sally knew she probably had food poisoning from the dinner she ate the previous night.
16	3	0,295	26	When she inexplicably woke up in the early hours of the morning feeling sick, Sally knew	she probably had food poisoning from the dinner she ate the previous night.	When she inexplicably woke up in the early hours of the morning feeling sick, Sally knew she probably had food poisoning from the dinner she ate the previous night.
16	4	0,394	26	When she woke up very early in the morning feeling sick, Sally knew	she probably had food poisoning from the dinner she ate the previous night.	When she woke up very early in the morning feeling sick, Sally knew she probably had food poisoning from the dinner she ate the previous night.
17	1	0,295	16	When Gregory finally woke up, he found out that nobody	had bothered to clean up the flat after the party last night.	When Gregory finally woke up, he found out that nobody had bothered to clean up the flat after the party last night.
17	2	0,394	16	When he woke up, he found out that nobody	had bothered to clean up the flat after the party last night.	When he woke up, he found out that nobody had bothered to clean up the flat after the party last night.
17	3	0,295	26	When Gregory woke up with a throbbing headache the next morning, he found out that nobody	had bothered to clean up the flat after the party last night.	When Gregory woke up with a throbbing headache the next morning, he found out that nobody had bothered to clean up the flat after the party last night.
17	4	0,394	26	When Gregory woke up with a huge headache, he found out that nobody	had bothered to clean up the flat after the party last night.	When Gregory woke up with a huge headache, he found out that nobody had bothered to clean up the flat after the party last night.
18	1	0,295	16	I put a vest and a jumper in my backpack, took my keys	and headed towards the underground parking lot.	I put a vest and a jumper in my backpack, took my keys and headed towards the underground parking lot.
18	2	0,394	16	I put a vest in my backpack, took my keys	and headed towards the underground parking lot.	I put a vest in my backpack, took my keys and headed towards the underground parking lot.
18	3	0,295	26	I thought it may be cold today, so I put a hat and a jumper in my backpack, took my keys	and headed towards the underground parking lot.	I thought it may be cold today, so I put a hat and a jumper in my backpack, took my keys and headed towards the underground parking lot.
18	4	0,394	26	I decided to put a vest and a jumper in my backpack, took my keys	and headed towards the underground parking lot.	I decided to put a vest and a jumper in my backpack, took my keys and headed towards the underground parking lot.
19	1	0,295	16	I picked up the green coffee mug that our last visitor	had forgotten and made a note to return it.	I picked up the green coffee mug that our last visitor had forgotten and made a note to return it.
19	2	0,394	16	I picked up the mug that our last visitor	had forgotten and made a note to return it.	I picked up the mug that our last visitor had forgotten and made a note to return it.
19	3	0,295	26	I immediately picked up the small but expensive-looking coffee mug that our last visitor	had forgotten and made a note to return it.	I immediately picked up the small but expensive-looking coffee mug that our last visitor had forgotten and made a note to return it.
19	4	0,394	26	I immediately picked up the small coffee mug that our last visitor	had forgotten and made a note to return it.	I immediately picked up the small coffee mug that our last visitor had forgotten and made a note to return it.
20	1	0,295	16	The investment banker worked hard this quarter, which	led to a dramatic rise in her salary.	The investment banker worked hard this quarter, which led to a dramatic rise in her salary.
20	2	0,394	16	The woman worked hard this quarter, which	led to a dramatic rise in her salary.	The woman worked hard this quarter, which led to a dramatic rise in her salary.
20	3	0,295	26	The new female company executive ensured that she worked extra hard this quarter, which	led to a dramatic rise in her salary.	The new female company executive ensured that she worked extra hard this quarter, which led to a dramatic rise in her salary.
20	4	0,394	26	The new female executive worked extremely hard this quarter, which	led to a dramatic rise in her salary.	The new female executive worked extremely hard this quarter, which led to a dramatic rise in her salary.
21	1	0,295	16	His dark blue eyes gleamed with joy, and his pale face	was now flushed and unusually animated.	His dark blue eyes gleamed with joy, and his pale face was now flushed and unusually animated.
21	2	0,394	16	His blue eyes twinkled, and his pale face	was now flushed and unusually animated.	His blue eyes twinkled, and his pale face was now flushed and unusually animated.
21	3	0,295	26	His dark blue eyes gleamed with joy after the quick board game victory, and his pale face	was now flushed and unusually animated.	His dark blue eyes gleamed with joy after the quick board game victory, and his pale face was now flushed and unusually animated.
21	4	0,394	26	His blue eyes gleamed with joy after the victory, and his pale face	was now flushed and unusually animated.	His blue eyes gleamed with joy after the victory, and his pale face was now flushed and unusually animated.
22	1	0,295	16	John protested the new plan, but in the end he decided	not to argue with his mother-in-law.	John protested the new plan, but in the end he decided not to argue with his mother-in-law.
22	2	0,394	16	John protested, but in the end he decided	not to argue with his mother-in-law.	John protested, but in the end he decided not to argue with his mother-in-law.
22	3	0,295	26	John protested the plan to spend the whole weekend by the lake, but in the end he decided	not to argue with his mother-in-law.	John protested the plan to spend the whole weekend by the lake, but in the end he decided not to argue with his mother-in-law.
22	4	0,394	26	John protested the plan to go to the sea, but in the end he decided	not to argue with his mother-in-law.	John protested the plan to go to the sea, but in the end he decided not to argue with his mother-in-law.
23	1	0,295	16	He was not aware of the fact that he was adopted until	he met his biological mother many years later.	He was not aware of the fact that he was adopted until he met his biological mother many years later.
23	2	0,394	16	He did not find out he was adopted until	he met his biological mother many years later.	He did not find out he was adopted until he met his biological mother many years later.
23	3	0,295	26	He had somehow never been told by anyone during his whole life that he was adopted until	he met his biological mother many years later.	He had somehow never been told by anyone during his whole life that he was adopted until he met his biological mother many years later.
23	4	0,394	26	He had never been told in his whole life that he was adopted until	he met his biological mother many years later.	He had never been told in his whole life that he was adopted until he met his biological mother many years later.
24	1	0,295	16	Many tourists from abroad who came to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	Many tourists from abroad who came to visit the castle were disappointed that they weren't allowed to see the king's chambers.
24	2	0,394	16	Many people who came to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	Many people who came to visit the castle were disappointed that they weren't allowed to see the king's chambers.
24	3	0,295	26	Many old tourists who had travelled from the other side of the world to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	Many old tourists who had travelled from the other side of the world to visit the castle were disappointed that they weren't allowed to see the king's chambers.
24	4	0,394	26	Many tourists who had travelled from far away to visit the castle	were disappointed that they weren't allowed to see the king's chambers.	Many tourists who had travelled from far away to visit the castle were disappointed that they weren't allowed to see the king's chambers.
25	1	0,295	16	The rumour is that the uninhabited island in this area	was claimed by a group of guerrilla fighters.	The rumour is that the uninhabited island in this area was claimed by a group of guerrilla fighters.
25	2	0,394	16	The only uninhabited island in this area	was claimed by a group of guerrilla fighters.	The only uninhabited island in this area was claimed by a group of guerrilla fighters.
25	3	0,295	26	The TV anchor reported that during the past week the tiny uninhabited island in this area	was claimed by a group of guerrilla fighters.	The TV anchor reported that during the past week the tiny uninhabited island in this area was claimed by a group of guerrilla fighters.
25	4	0,394	26	The TV presenter reported that the uninhabited island in this area	was claimed by a group of guerrilla fighters.	The TV presenter reported that the uninhabited island in this area was claimed by a group of guerrilla fighters.
26	1	0,295	16	We spent an hour walking aimlessly in the forested area	until our parents called us to come back for dinner.	We spent an hour walking aimlessly in the forested area until our parents called us to come back for dinner.
26	2	0,394	16	We walked aimlessly in the forested area	until our parents called us to come back for dinner.	We walked aimlessly in the forested area until our parents called us to come back for dinner.
26	3	0,295	26	We had nothing to do that day, so we spent an hour walking aimlessly in the forested area	until our parents called us to come back for dinner.	We had nothing to do that day, so we spent an hour walking aimlessly in the forested area until our parents called us to come back for dinner.
26	4	0,394	26	We had nothing to do, so we walked aimlessly in the forested area	until our parents called us to come back for dinner.	We had nothing to do, so we walked aimlessly in the forested area until our parents called us to come back for dinner.
27	1	0,295	16	When I returned from shopping, they were already in the	restaurant and had left me a voicemail telling me to join them.	When I returned from shopping, they were already in the restaurant and had left me a voicemail telling me to join them.
27	2	0,394	16	When I returned, they were already in the	restaurant and had left me a voicemail telling me to join them.	When I returned, they were already in the restaurant and had left me a voicemail telling me to join them.
27	3	0,295	26	When I returned home from a very busy day of Christmas shopping, they were already in the	restaurant and had left me a voicemail telling me to join them.	When I returned home from a very busy day of Christmas shopping, they were already in the restaurant and had left me a voicemail telling me to join them.
27	4	0,394	26	When I returned from Christmas shopping, they were already in the	restaurant and had left me a voicemail telling me to join them.	When I returned from Christmas shopping, they were already in the restaurant and had left me a voicemail telling me to join them.
28	1	0,295	16	The two Hibiscus flowers in our garden were taken from	overseas, but they do not seem to fare too well in the colder climate.	The two Hibiscus flowers in our garden were taken from overseas, but they do not seem to fare too well in the colder climate.
28	2	0,394	16	The flowers in our garden were taken from	overseas, but they do not seem to fare too well in the colder climate.	The flowers in our garden were taken from overseas, but they do not seem to fare too well in the colder climate.
28	3	0,295	26	The half a dozen Hibiscus flowers and other tropical plants in our garden were taken from	overseas, but they do not seem to fare too well in the colder climate.	The half a dozen Hibiscus flowers and other tropical plants in our garden were taken from overseas, but they do not seem to fare too well in the colder climate.
28	4	0,394	26	The sub-tropical flowers and plants in our garden were taken from	overseas, but they do not seem to fare too well in the colder climate.	The sub-tropical flowers and plants in our garden were taken from overseas, but they do not seem to fare too well in the colder climate.
29	1	0,295	16	People in the area usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	People in the area usually avoided the mountain trail because all the signs had faded away due to the lack of maintenance.
29	2	0,394	16	People usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	People usually avoided the mountain trail because all the signs had faded away due to the lack of maintenance.
29	3	0,295	26	People who were interested in hiking or wild camping usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	People who were interested in hiking or wild camping usually avoided the mountain trail because all the signs had faded away due to the lack of maintenance.
29	4	0,394	26	People interested in backpacking usually avoided the mountain trail	because all the signs had faded away due to the lack of maintenance.	People interested in backpacking usually avoided the mountain trail because all the signs had faded away due to the lack of maintenance.
30	1	0,295	16	There were at least some reports of gunfire in the area	during the short period of civil unrest.	There were at least some reports of gunfire in the area during the short period of civil unrest.
30	2	0,394	16	There were reports of gunfire in the area	during the short period of civil unrest.	There were reports of gunfire in the area during the short period of civil unrest.
30	3	0,295	26	There were at least half a dozen witnesses who reported intermittent gunfire in the area	during the short period of civil unrest.	There were at least half a dozen witnesses who reported intermittent gunfire in the area during the short period of civil unrest.
30	4	0,394	26	There were at least several people who reported gunfire in the area	during the short period of civil unrest.	There were at least several people who reported gunfire in the area during the short period of civil unrest.
31	1	0,295	16	When king Alexander was one year and nine months old,	he was already showing an impressive aptitude to learning new things.	When king Alexander was one year and nine months old, he was already showing an impressive aptitude to learning new things.
31	2	0,394	16	When he was one year and nine months old,	he was already showing an impressive aptitude to learning new things.	When he was one year and nine months old, he was already showing an impressive aptitude to learning new things.
31	3	0,295	26	When king Alexander, the great conqueror, was no more than one year and nine months old,	he was already showing an impressive aptitude to learning new things.	When king Alexander, the great conqueror, was no more than one year and nine months old, he was already showing an impressive aptitude to learning new things.
31	4	0,394	26	When king Alexander was no more than one year and nine months old,	he was already showing an impressive aptitude to learning new things.	When king Alexander was no more than one year and nine months old, he was already showing an impressive aptitude to learning new things.
32	1	0,295	16	Penny decided it was time to move indoors after she had	spent the whole afternoon skiing on the slope.	Penny decided it was time to move indoors after she had spent the whole afternoon skiing on the slope.
32	2	0,394	16	Penny quickly moved indoors after she had	spent the whole afternoon skiing on the slope.	Penny quickly moved indoors after she had spent the whole afternoon skiing on the slope.
32	3	0,295	26	Penny Parker was already feeling quite cold, so she decided to move indoors after she had	spent the whole afternoon skiing on the slope.	Penny Parker was already feeling quite cold, so she decided to move indoors after she had spent the whole afternoon skiing on the slope.
32	4	0,394	26	Penny was feeling cold, so she wanted to move indoors after she had	spent the whole afternoon skiing on the slope.	Penny was feeling cold, so she wanted to move indoors after she had spent the whole afternoon skiing on the slope.
33	1	0,295	16	The cold temperature last winter had caused the water	pipe in the garden to completely freeze over.	The cold temperature last winter had caused the water pipe in the garden to completely freeze over.
33	2	0,394	16	The cold temperature had caused the water	pipe in the garden to completely freeze over.	The cold temperature had caused the water pipe in the garden to completely freeze over.
33	3	0,295	26	The very low temperature during one of the coldest winters on record had caused the water	pipe in the garden to completely freeze over.	The very low temperature during one of the coldest winters on record had caused the water pipe in the garden to completely freeze over.
33	4	0,394	26	The surprisingly low temperature last winter had caused the water	pipe in the garden to completely freeze over.	The surprisingly low temperature last winter had caused the water pipe in the garden to completely freeze over.
34	1	0,295	16	The new virulent disease affected many of the children	who were visiting the same day care centre in the city.	The new virulent disease affected many of the children who were visiting the same day care centre in the city.
34	2	0,394	16	The disease affected many of the children	who were visiting the same day care centre in the city.	The disease affected many of the children who were visiting the same day care centre in the city.
34	3	0,295	26	The newly discovered disease was easily transmitted and it affected many of the children	who were visiting the same day care centre in the city.	The newly discovered disease was easily transmitted and it affected many of the children who were visiting the same day care centre in the city.
34	4	0,394	26	The disease was very virulent and it affected many of the children	who were visiting the same day care centre in the city.	The disease was very virulent and it affected many of the children who were visiting the same day care centre in the city.
35	1	0,295	16	The water was rising very quickly and the four friends	jumped inside the lifeboat with a sense of urgency.	The water was rising very quickly and the four friends jumped inside the lifeboat with a sense of urgency.
35	2	0,394	16	The water was rising and the four friends	jumped inside the lifeboat with a sense of urgency.	The water was rising and the four friends jumped inside the lifeboat with a sense of urgency.
35	3	0,295	26	The murky water from the overflowing river was rising very quickly and the four friends	jumped inside the lifeboat with a sense of urgency.	The murky water from the overflowing river was rising very quickly and the four friends jumped inside the lifeboat with a sense of urgency.
35	4	0,394	26	The murky water from the river was rising fast and the four friends	jumped inside the lifeboat with a sense of urgency.	The murky water from the river was rising fast and the four friends jumped inside the lifeboat with a sense of urgency.
36	1	0,295	16	On top of the hill near the trees, there were many huts	overlooking the beautiful beach in the Indian ocean.	On top of the hill near the trees, there were many huts overlooking the beautiful beach in the Indian ocean.
36	2	0,394	16	On top of the hill, there were many huts	overlooking the beautiful beach in the Indian ocean.	On top of the hill, there were many huts overlooking the beautiful beach in the Indian ocean.
36	3	0,295	26	On top of the hill, hidden behind the large number of coconut trees, there were many huts	overlooking the beautiful beach in the Indian ocean.	On top of the hill, hidden behind the large number of coconut trees, there were many huts overlooking the beautiful beach in the Indian ocean.
36	4	0,394	26	On top of the hill behind the coconut trees, there were many huts	overlooking the beautiful beach in the Indian ocean.	On top of the hill behind the coconut trees, there were many huts overlooking the beautiful beach in the Indian ocean.
37	1	0,295	16	In the yellow hunting cabin, the sound of wood chopping	could be heard from workers in the nearby forest.	In the yellow hunting cabin, the sound of wood chopping could be heard from workers in the nearby forest.
37	2	0,394	16	In the cabin, the sound of wood chopping	could be heard from workers in the nearby forest.	In the cabin, the sound of wood chopping could be heard from workers in the nearby forest.
37	3	0,295	26	In the yellow hunting cabin behind the rapid mountain stream, the sound of wood chopping	could be heard from workers in the nearby forest.	In the yellow hunting cabin behind the rapid mountain stream, the sound of wood chopping could be heard from workers in the nearby forest.
37	4	0,394	26	In the hunting cabin behind the stream, the sound of wood chopping	could be heard from workers in the nearby forest.	In the hunting cabin behind the stream, the sound of wood chopping could be heard from workers in the nearby forest.
38	1	0,295	16	When Jenifer was about five years old, her mum took her	to the park and taught her how to ride a bicycle.	When Jenifer was about five years old, her mum took her to the park and taught her how to ride a bicycle.
38	2	0,394	16	When Jenifer was young, her mum took her	to the park and taught her how to ride a bicycle.	When Jenifer was young, her mum took her to the park and taught her how to ride a bicycle.
38	3	0,295	26	When Jenifer was just about to start primary school at the age of five, her mum took her	to the park and taught her how to ride a bicycle.	When Jenifer was just about to start primary school at the age of five, her mum took her to the park and taught her how to ride a bicycle.
38	4	0,394	26	When Jane was no more than five years and a half, her mum took her	to the park and taught her how to ride a bicycle.	When Jane was no more than five years and a half, her mum took her to the park and taught her how to ride a bicycle.
39	1	0,295	16	The bride was told she had inherited a large amount of	money and a big mansion from her late mother.	The bride was told she had inherited a large amount of money and a big mansion from her late mother.
39	2	0,394	16	The bride had inherited a large amount of	money and a big mansion from her late mother.	The bride had inherited a large amount of money and a big mansion from her late mother.
39	3	0,295	26	The bride was told on the day after her wedding that she had inherited a large amount of	money and a big mansion from her late mother.	The bride was told on the day after her wedding that she had inherited a large amount of money and a big mansion from her late mother.
39	4	0,394	26	The bride was later told that she had inherited a large amount of	money and a big mansion from her late mother.	The bride was later told that she had inherited a large amount of money and a big mansion from her late mother.
40	1	0,295	16	She went to the newly-opened beach with her best friend	from another college in England.	She went to the newly-opened beach with her best friend from another college in England.
40	2	0,394	16	She visited a beach with her best friend	from another college in England.	She visited a beach with her best friend from another college in England.
40	3	0,295	26	She spontaneously decided to go to the beautiful beach on Wednesday with her best friend	from another college in England.	She spontaneously decided to go to the beautiful beach on Wednesday with her best friend from another college in England.
40	4	0,394	26	She visited the beautiful beach on Wednesday with her best friend	from another college in England.	She visited the beautiful beach on Wednesday with her best friend from another college in England.
41	1	0,295	16	The elderly man who lives with his son in the big house	is said to have inherited a lot of money. 	The elderly man who lives with his son in the big house is said to have inherited a lot of money. 
41	2	0,394	16	The man who lives alone in the big house	is said to have inherited a lot of money. 	The man who lives alone in the big house is said to have inherited a lot of money. 
41	3	0,295	26	The elderly man who is relatively new to the area and lives with his son in the big house	is said to have inherited a lot of money. 	The elderly man who is relatively new to the area and lives with his son in the big house is said to have inherited a lot of money. 
41	4	0,394	26	The old man who is new to the area and lives alone in the big house	is said to have inherited a lot of money. 	The old man who is new to the area and lives alone in the big house is said to have inherited a lot of money. 
42	1	0,295	16	The shop robber was long gone by the time the sheriff	arrived on the scene with reinforcements.	The shop robber was long gone by the time the sheriff arrived on the scene with reinforcements.
42	2	0,394	16	The man was gone by the time the sheriff	arrived on the scene with reinforcements.	The man was gone by the time the sheriff arrived on the scene with reinforcements.
42	3	0,295	26	The man suspected in the brazen supermarket robbery was long gone by the time the sheriff	arrived on the scene with reinforcements.	The man suspected in the brazen supermarket robbery was long gone by the time the sheriff arrived on the scene with reinforcements.
42	4	0,394	26	The man suspected in the robbery was gone by the time the sheriff	arrived on the scene with reinforcements.	The man suspected in the robbery was gone by the time the sheriff arrived on the scene with reinforcements.
43	1	0,295	16	He walked almost the whole day on the grass in view of	the gentle rolling hills of Kadath.	He walked almost the whole day on the grass in view of the gentle rolling hills of Kadath.
43	2	0,394	16	He walked all day on the grass in view of	the gentle rolling hills of Kadath.	He walked all day on the grass in view of the gentle rolling hills of Kadath.
43	3	0,295	26	He was slow and absent-minded that day, but he walked for hours on the grass in view of	the gentle rolling hills of Kadath.	He was slow and absent-minded that day, but he walked for hours on the grass in view of the gentle rolling hills of Kadath.
43	4	0,394	26	He was slow and tired as he walked all day on the grass in view of	the gentle rolling hills of Kadath.	He was slow and tired as he walked all day on the grass in view of the gentle rolling hills of Kadath.
